names,scores,logfoldchanges,pvals,pvals_adj
EIF2AK2,140.49612,4.2963433,0.0,0.0
MX1,81.22656,4.428481,0.0,0.0
BST2,60.476437,3.6067643,0.0,0.0
STAT1,41.792515,0.8495058,0.0,0.0
TYMP,40.79485,1.0309801,0.0,0.0
EPSTI1,40.77428,1.1166257,0.0,0.0
RNF213,40.08999,0.54803956,0.0,0.0
AOAH,39.043232,0.7763127,0.0,0.0
PARP14,38.989395,0.7752081,0.0,0.0
JAK2,38.946476,0.76822793,0.0,0.0
XAF1,38.88263,1.2890536,0.0,0.0
NEAT1,38.600037,0.62648505,0.0,0.0
SLC8A1,38.44579,1.0950568,0.0,0.0
IFI44L,37.50037,2.0223162,9.084247394215146e-308,2.21661692583779e-304
MYO1F,37.36228,0.6942089,1.6020839104803764e-305,3.664867075468266e-302
FCN1,36.94436,0.9276425,8.97256340431778e-299,1.7639526370130372e-295
IFI44,36.94381,1.644204,9.15688098774561e-299,1.7639526370130372e-295
DMXL2,36.623383,0.9279949,1.2142164180462338e-293,2.22207675584551e-290
LYST,36.585033,0.6685723,4.9476262078524956e-293,8.623241277790914e-290
DOCK8,36.300343,0.43748525,1.5979589035797954e-288,2.658495174087459e-285
TBXAS1,35.99349,0.8445613,1.0576181010457942e-283,1.6830382659294398e-280
ZEB2,35.81788,0.74813217,5.819152061882465e-281,8.874449359040004e-278
PLXDC2,35.76218,0.97181284,4.278190562475609e-280,6.263442111086791e-277
ARHGAP26,35.681786,0.6857663,7.576668961819204e-279,1.0665910025828642e-275
MCTP1,35.619556,0.9157,6.977775419484407e-278,9.459020671427732e-275
DPYD,34.694187,0.50860023,9.640112150430691e-264,1.2601348029211205e-260
PSAP,34.31197,0.64836586,5.20245679697176e-258,6.566038662964255e-255
CTSS,34.288975,0.5542989,1.1456635797395346e-257,1.3977477560682234e-254
SAT1,34.20713,0.73796,1.894213107108837e-256,2.2364546430093723e-253
CYBB,33.900974,0.789658,6.445361729814754e-252,7.372083896029682e-249
MX2,33.55062,0.9543697,8.817272153197713e-247,9.779423578157256e-244
QKI,33.423717,0.5839202,6.202551055728948e-245,6.677046211492213e-242
