leiden_res_1.0,HD1,HD2,P1,P2,P3,P4,P5,P6,P7,P8
0,17,17,1187,2588,1844,7,0,3,86,77
1,1479,190,13,104,240,45,12,392,1396,1747
2,1557,1094,0,20,62,296,202,692,1163,531
3,1,2,5,14,5252,0,0,3,28,137
4,317,710,19,72,99,632,145,1460,1315,627
5,284,4303,3,7,17,3,9,28,81,180
6,5,7,1,24,8,1577,151,2711,31,97
7,0,0,0,1,1,4437,0,1,0,1
8,2,0,3944,13,12,0,0,0,5,1
9,37,25,28,25,70,5,1,210,1727,1803
10,123,364,510,988,647,113,15,262,295,297
11,7,3,19,3396,45,26,2,24,33,14
12,1406,2035,0,5,4,12,1,7,63,8
13,202,811,352,19,327,19,12,672,798,287
14,397,277,333,387,82,32,303,187,207,1102
15,7,199,1156,1167,210,5,6,4,19,57
16,11,5,0,3,2,1243,951,537,8,17
17,1,2,277,1289,719,1,0,0,28,44
18,8,48,555,497,810,1,0,3,44,34
19,391,32,28,323,404,79,59,77,52,541
20,520,288,1,7,11,141,339,304,201,120
21,92,102,239,410,278,126,41,129,241,125
22,44,22,24,74,74,4,2,7,147,568
23,17,24,44,618,36,18,11,28,77,19
24,65,146,42,85,175,21,3,82,96,85
25,0,0,0,3,0,559,0,172,0,0
26,32,48,20,62,90,0,3,36,46,18
27,20,56,42,27,72,8,2,40,56,10
28,75,37,64,52,27,3,5,11,17,28
29,4,13,2,12,23,2,2,9,5,3
