sample,cells,predicted_doublets,median_doublet_score,doublet_rate_percent
HD1,7482,361,0.06727272727272728,4.824913124832932
HD2,11694,834,0.07620528771384136,7.131862493586455
P1,9718,810,0.06530291109362706,8.335048363860876
P2,13774,1482,0.07152682255845944,10.759401771453463
P3,12590,949,0.0657439446366782,7.537728355837967
P4,10194,779,0.058139534883720916,7.64175004904846
P5,2357,80,0.08363636363636362,3.3941450997030125
P6,8644,553,0.05707584050039094,6.397501156871818
P7,8850,585,0.057736720554272515,6.610169491525424
P8,9210,632,0.04867872044506258,6.862106406080347
