sample,cells,mean,median,std,minimum,maximum
HD1,7121,-0.0349326931465455,-0.07856097300847371,0.19787193980572138,-0.3561838150024414,1.4861483319600421
HD2,10860,-0.03560455194510807,-0.0676450498898824,0.19764422210169497,-0.35865528106689454,1.9808062998453775
P1,8908,0.16201666104068227,0.126783762772878,0.28158150612157146,-0.3552522659301758,1.6974469757080077
P2,12292,0.03457357554226445,-0.011948846975962324,0.23726240692403205,-0.38051074981689453,1.7531000359853108
P3,11641,-0.02473532498584315,-0.0638472326596578,0.1939596970199202,-0.33297046661376956,1.2425393358866375
P4,9415,-0.08463189133772239,-0.13889058113098143,0.15488356899635575,-0.37054450988769533,1.2083828353881836
P5,2277,0.1695635955266697,-0.017682179609934484,0.4815485296820888,-0.327906494140625,2.1887064456939695
P6,8091,0.0060170592509521045,-0.03541248559951782,0.2155835162966904,-0.34416923522949217,1.452984339396159
P7,8265,-0.0003672288824988363,-0.02002058823903402,0.2046704185656936,-0.37887165069580075,1.285689353942871
P8,8578,-0.021469769118557983,-0.041621479193369545,0.19126783947879866,-0.358041877746582,1.977707783381144
