leiden_res_1.0,cells,fraction_of_cells
0,5826,0.06662244991309121
1,5618,0.06424389351385966
2,5617,0.06423245814655566
3,5442,0.06223126886835605
4,5396,0.061705241972372156
5,4915,0.05620483029914921
6,4612,0.05273991400603788
7,4441,0.05078446619705425
8,3977,0.04547845576799927
9,3931,0.04495242887201537
10,3614,0.04132741743664806
11,3569,0.04081282590796816
12,3541,0.04049263562345622
13,3499,0.04001235019668832
14,3307,0.03781675967432074
15,2830,0.032362089470313785
16,2777,0.0317560150032019
17,2361,0.026998902204738818
18,2000,0.02287073460799561
19,1986,0.02271063946573964
20,1932,0.022093129631323757
21,1783,0.020389259903028086
22,966,0.011046564815661878
23,892,0.010200347635166042
24,800,0.009148293843198244
25,734,0.008393559601134389
26,355,0.004059555392919221
27,333,0.0038079773122312688
28,319,0.0036478821699752998
29,75,0.0008576525477998353
