Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Immune System R-HSA-168256,35/1943,5.3690955520339536e-12,1.938243494284257e-09,0,0,5.077568134171908,131.76472937238242,FCN1;CSF3R;CLEC12A;NCF2;CTSS;TNFSF13B;RNF213;CLEC7A;COTL1;TRIM25;CD36;JAK2;ATG7;RNF130;RAP1GAP2;IL15;STAT1;SLC11A1;MX2;MX1;CYBB;EIF2AK2;ISG15;IRAK3;ATP11A;TNFRSF1B;CPPED1;IL17RA;BST2;HCK;JAML;PECAM1;MNDA;XAF1;TLR2
Reactome_2022,Neutrophil Degranulation R-HSA-6798695,15/468,1.1330993777103097e-08,2.045244376767109e-06,0,0,7.575769380599922,138.60418608223156,FCN1;CLEC12A;SLC11A1;CYBB;ATP11A;TNFRSF1B;CTSS;CPPED1;BST2;COTL1;PECAM1;MNDA;CD36;ATG7;TLR2
Reactome_2022,Innate Immune System R-HSA-168249,21/1035,3.3034541791939324e-08,3.975156528963364e-06,0,0,4.951014905250543,85.28475737027195,FCN1;CLEC12A;NCF2;SLC11A1;CYBB;ISG15;IRAK3;ATP11A;TNFRSF1B;CTSS;CPPED1;BST2;HCK;CLEC7A;COTL1;PECAM1;TRIM25;MNDA;CD36;ATG7;TLR2
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,17/702,6.731809444210357e-08,6.075458023399846e-06,0,0,5.745404977574531,94.8786800001606,CSF3R;IL15;STAT1;MX2;MX1;EIF2AK2;ISG15;IRAK3;TNFRSF1B;TNFSF13B;IL17RA;BST2;HCK;TRIM25;CD36;XAF1;JAK2
Reactome_2022,Interferon Signaling R-HSA-913531,9/200,7.246130877532363e-07,5.231706493578366e-05,0,0,10.205454231632242,144.28091546324455,BST2;STAT1;MX2;MX1;TRIM25;EIF2AK2;ISG15;XAF1;JAK2
Reactome_2022,Interferon Alpha/Beta Signaling R-HSA-909733,6/72,1.6067318696867162e-06,9.667170082615076e-05,0,0,19.181818181818183,255.9105508202512,BST2;STAT1;MX2;MX1;ISG15;XAF1
Reactome_2022,ISG15 Antiviral Mechanism R-HSA-1169408,6/75,2.045889017738323e-06,0.00010550941934336209,0,0,18.34505087881591,240.3142618906808,STAT1;MX2;MX1;TRIM25;EIF2AK2;ISG15
Reactome_2022,Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,6/83,3.713506616511966e-06,0.00016757198607010248,0,0,16.432439900525008,205.4635701462146,STAT1;MX2;MX1;TRIM25;EIF2AK2;ISG15
Reactome_2022,Cross-presentation Of Particulate Exogenous Antigens (Phagosomes) R-HSA-1236973,3/8,6.669353467633975e-06,0.00024783205137712865,0,0,123.0618556701031,1466.6496741086537,NCF2;CYBB;CD36
Reactome_2022,Inactivation Of CSF3 (G-CSF) Signaling R-HSA-9705462,4/25,6.865153777759796e-06,0.00024783205137712865,0,0,39.44246031746032,468.9334664055757,HCK;CSF3R;STAT1;JAK2
