PC,variance_ratio,cumulative_variance_ratio
1,0.048244454,0.048244454
2,0.029942496,0.07818695
3,0.018502792,0.096689746
4,0.0064896294,0.10317937
5,0.0056043416,0.108783714
6,0.0048090457,0.11359276
7,0.004659542,0.1182523
8,0.0045386795,0.12279098
9,0.00379174,0.12658271
10,0.0031470705,0.12972978
11,0.0027604313,0.1324902
12,0.0024545235,0.13494472
13,0.0021501768,0.1370949
14,0.0019914284,0.13908634
15,0.0018443255,0.14093067
16,0.0017476854,0.14267835
17,0.0016562549,0.1443346
18,0.0016291083,0.14596371
19,0.0015870279,0.14755075
20,0.0015235599,0.1490743
21,0.0014099963,0.1504843
22,0.0013692841,0.15185358
23,0.0013495572,0.15320313
24,0.0013186396,0.15452176
25,0.0012634437,0.1557852
26,0.0012107429,0.15699595
27,0.001170494,0.15816645
28,0.0011589982,0.15932545
29,0.0011169023,0.16044235
30,0.0010676007,0.16150995
31,0.0010408371,0.16255078
32,0.001010559,0.16356133
33,0.0010035265,0.16456486
34,0.00096780865,0.16553268
35,0.00095306715,0.16648574
36,0.00093289476,0.16741864
37,0.0009033692,0.16832201
38,0.0008918665,0.16921388
39,0.00086946593,0.17008334
40,0.00085876114,0.1709421
41,0.00085012603,0.17179222
42,0.00082691375,0.17261913
43,0.0008153243,0.17343445
44,0.00080122496,0.17423567
45,0.00079076993,0.17502645
46,0.0007872822,0.17581373
47,0.0007707601,0.1765845
48,0.0007647803,0.17734928
49,0.0007587218,0.178108
50,0.0007441722,0.17885219
