names,scores,logfoldchanges,pvals,pvals_adj,-log10_padj,significant
EIF2AK2,140.49612,4.2963433,0.0,0.0,300.0,True
MX1,81.22656,4.428481,0.0,0.0,300.0,True
BST2,60.476437,3.6067643,0.0,0.0,300.0,True
STAT1,41.792515,0.8495058,0.0,0.0,300.0,True
TYMP,40.79485,1.0309801,0.0,0.0,300.0,True
EPSTI1,40.77428,1.1166257,0.0,0.0,300.0,True
RNF213,40.08999,0.54803956,0.0,0.0,300.0,True
AOAH,39.043232,0.7763127,0.0,0.0,300.0,True
PARP14,38.989395,0.7752081,0.0,0.0,300.0,True
JAK2,38.946476,0.76822793,0.0,0.0,300.0,True
XAF1,38.88263,1.2890536,0.0,0.0,300.0,True
NEAT1,38.600037,0.62648505,0.0,0.0,300.0,True
SLC8A1,38.44579,1.0950568,0.0,0.0,300.0,True
IFI44L,37.50037,2.0223162,9.084247394215146e-308,2.21661692583779e-304,300.0,True
MYO1F,37.36228,0.6942089,1.6020839104803764e-305,3.664867075468266e-302,300.0,True
FCN1,36.94436,0.9276425,8.972563404317779e-299,1.7639526370130372e-295,294.7535130800659,True
IFI44,36.94381,1.644204,9.156880987745609e-299,1.7639526370130372e-295,294.7535130800659,True
DMXL2,36.623383,0.9279949,1.2142164180462338e-293,2.22207675584551e-290,289.653240943566,True
LYST,36.585033,0.6685723,4.947626207852496e-293,8.623241277790915e-290,289.06432946219496,True
TBXAS1,35.99349,0.8445613,1.0576181010457942e-283,1.6830382659294398e-280,279.77390600969676,True
ZEB2,35.81788,0.74813217,5.819152061882465e-281,8.874449359040005e-278,277.0518585844981,True
PLXDC2,35.76218,0.97181284,4.278190562475609e-280,6.263442111086791e-277,276.20318693212295,True
ARHGAP26,35.681786,0.6857663,7.576668961819204e-279,1.0665910025828642e-275,274.97200208420566,True
MCTP1,35.619556,0.9157,6.977775419484408e-278,9.459020671427732e-275,274.02415382543876,True
DPYD,34.694187,0.50860023,9.640112150430691e-264,1.2601348029211204e-260,259.8995829937449,True
PSAP,34.31197,0.64836586,5.2024567969717595e-258,6.566038662964255e-255,254.18269656433245,True
CTSS,34.288975,0.5542989,1.1456635797395346e-257,1.3977477560682233e-254,253.85457119628123,True
SAT1,34.20713,0.73796,1.894213107108837e-256,2.2364546430093723e-253,252.65043990522238,True
CYBB,33.900974,0.789658,6.445361729814754e-252,7.372083896029682e-249,248.1324097310526,True
MX2,33.55062,0.9543697,8.817272153197713e-247,9.779423578157256e-244,243.00968674277917,True
QKI,33.423717,0.5839202,6.202551055728947e-245,6.677046211492213e-242,241.17541561802642,True
VCAN,33.416206,0.9155675,7.973983836093357e-245,8.338736639567227e-242,241.0788997421711,True
LRMDA,33.08082,0.89404315,5.609963864045195e-240,5.703619094108837e-237,236.24384948575968,True
RBM47,32.869884,0.84368145,5.922323067309693e-237,5.858458015854112e-234,233.23221667806544,True
CLEC12A,32.5772,1.0874847,8.627140783582213e-233,8.309525784734016e-230,229.08042376020504,True
CD36,32.524994,0.9944943,4.7277273016450196e-232,4.3259886741877344e-229,228.36391462191594,True
DENND1A,32.510616,0.5832349,7.54890724770354e-232,6.738964735931641e-229,228.1714068162252,True
DOCK5,32.497948,0.7720934,1.1399358878407455e-231,9.933998435918836e-229,228.00287591271928,True
WDFY3,32.210464,0.82725006,1.2595625444677954e-227,1.0721220625596694e-224,223.96975576680902,True
IRAK3,32.190598,0.8294234,2.389417156346844e-227,1.987614939532973e-224,223.70166774762163,True
PLSCR1,32.18757,0.92462516,2.6344092284802958e-227,2.1427113815912737e-224,223.66903632350963,True
SBF2,32.109547,0.60317206,3.24418793776765e-226,2.5813157110920383e-223,222.58815887527015,True
SRGN,31.745522,0.5425168,3.660886815289496e-221,2.850896134604486e-218,217.54501860485462,True
DDX60L,31.447536,0.7188985,4.536164578788376e-217,3.458919994754861e-214,213.4610594831543,True
HCK,31.399248,0.8458936,2.071820821963201e-216,1.5475655898913292e-213,212.8103509353778,True
CLEC7A,31.333462,0.7945342,1.6346048627497051e-215,1.1965634516300394e-212,211.92206426657654,True
FNDC3B,31.291576,0.5448664,6.075434932825341e-215,4.3601371367909867e-212,211.36049985091148,True
VMP1,31.23207,0.5206904,3.911165396379106e-214,2.752933936016763e-211,210.5602042105346,True
TLR2,31.160204,0.78903484,3.689658585453557e-213,2.5480225261544458e-210,209.59379673687778,True
FGD4,31.132843,0.82836646,8.658809938517369e-213,5.8689093066606346e-210,209.2314426016674,True
ISG15,30.635042,3.9957194,4.1812776106704486e-206,2.638602445312916e-203,202.57862603941734,True
CPPED1,30.442486,0.8367406,1.5062199955579868e-203,9.343925094477606e-201,200.02947065173697,True
ATG7,30.41047,0.5449761,3.994060795454429e-203,2.4364436529071254e-200,199.61324362799886,True
NAMPT,30.386705,0.7460916,8.231650527301615e-203,4.93912526147158e-200,199.30634995952866,True
GAS7,30.320467,0.7382161,6.160377146159547e-202,3.63670909559009e-199,198.43929143725512,True
NUMB,30.293413,0.5626557,1.3998292369891418e-201,8.132563476672948e-199,198.08977253825685,True
SCLT1,30.22785,0.56061155,1.0201239082749324e-200,5.833992994807938e-198,197.23403409669493,True
LRRK2,30.09613,0.7457847,5.444533105202795e-199,3.0657747105158083e-196,195.51345976258494,True
TNFSF13B,29.851255,0.8611708,8.455319375874423e-196,4.688987037520906e-193,192.3289209678457,True
TNFRSF1B,29.706224,0.6097358,6.381212852956365e-194,3.485951815388894e-191,190.45767862022527,True
KYNU,29.702078,0.7459838,7.218429393595976e-194,3.885319621103034e-191,190.41057324868504,True
LINC00278,29.65349,0.63019055,3.0578163397980114e-193,1.6220164616369132e-190,189.78994474250354,True
ZSWIM6,29.60585,0.5517833,1.2563926381468736e-192,6.569318135544818e-190,189.18247970583417,True
RNF130,29.514559,0.6320216,1.8726594874966988e-191,9.65369153547418e-189,188.0153065823126,True
CSF3R,29.163301,0.76825476,5.66600167872315e-187,2.7650843659059465e-184,183.55829161333273,True
GNAQ,29.120455,0.5250619,1.977748026594073e-186,9.524678358074954e-184,183.02114968123468,True
CTBP2,29.081398,0.66809887,6.171093084487909e-186,2.9333529608485967e-183,182.53263567662867,True
MEGF9,28.915667,0.72629774,7.58667223340688e-184,3.514934055885129e-181,180.4540828184205,True
PTPRE,28.804026,0.5828062,1.9099147637519995e-182,8.738098783510868e-180,179.05858304993416,True
IL15,28.758417,0.77830195,7.108519421338444e-182,3.2120854239556594e-179,178.49321291337492,True
ACSL1,28.729013,0.7190212,1.6567565392639597e-181,7.394993426048803e-179,178.1310622077431,True
PECAM1,28.728317,0.7255842,1.6903346198062366e-181,7.45396836379856e-179,178.1276124548149,True
DISC1,28.6847,0.59778374,5.921182757417255e-181,2.5800144060027247e-178,177.5883778690639,True
COTL1,28.64558,0.6197027,1.8197087036734188e-180,7.744553286412884e-178,177.11100362772285,True
RAP1GAP2,28.56621,0.5597056,1.767107265488487e-179,7.434240577487829e-177,176.12876338892434,True
SPTLC2,28.386028,0.5807081,3.0081970861591096e-177,1.223366906116773e-174,173.91244327198703,True
FAM49A,27.957571,0.62240505,5.333512010612619e-172,2.033457011462838e-169,168.69176500441594,True
IL17RA,27.771372,0.5981408,9.619783776887589e-170,3.629832020802707e-167,166.44011347251939,True
NOTCH2,27.746914,0.5601854,1.8985200673525706e-169,7.090584998486881e-167,166.14931793249903,True
SRGAP2,27.73811,0.66985404,2.424552983131199e-169,8.963743811675252e-167,166.04751056431522,True
CPNE8,27.599749,0.666352,1.1204341083182477e-167,4.1009008798556187e-165,164.38712072762837,True
MAML3,27.532125,0.6891697,7.244637347754188e-167,2.5996173682857943e-164,163.5850905701334,True
NCF2,27.49389,0.7304495,2.077209557692141e-166,7.381354079717483e-164,163.1318639612926,True
SLC11A1,27.442463,0.7405499,8.54648878938185e-166,3.007788809424664e-163,162.52175266080692,True
GRK3,27.43025,0.6078835,1.1953997476514505e-165,4.166935825122928e-163,162.38018318804995,True
JAML,27.411385,0.7419619,2.0066206364769453e-165,6.928709614687989e-163,162.15934763976074,True
EVI5,27.219442,0.61482525,3.823918148664235e-163,1.2840296161399971e-160,159.89142495915047,True
MNDA,27.211075,0.7336171,4.803366671341082e-163,1.5982547594341358e-160,159.796353993609,True
TRIM25,27.10532,0.8076417,8.522737911458057e-162,2.7605374362590826e-159,158.55900635892033,True
RIN2,26.910503,0.9604057,1.6549117810018108e-159,5.2670805301258506e-157,156.27843004152064,True
ATP11A,26.84,0.5395306,1.103604438061392e-158,3.482157417024569e-156,155.45815159973225,True
CREB5,26.778854,0.901005,5.6980873068045244e-158,1.782527295011559e-155,154.74896381127573,True
PLCB1,26.773312,0.62335515,6.611039528105331e-158,2.0505987946456204e-155,154.68811930224294,True
SKAP2,26.743343,0.6457926,1.4758039553674626e-157,4.539151308437353e-155,154.3430253402084,True
TMTC2,26.732214,0.7141501,1.988090939213e-157,6.0638430388445834e-155,154.21725204884135,True
CPVL,26.710705,0.8153479,3.5351050589931236e-157,1.0693254567289862e-154,153.97089009408984,True
BAZ2B,26.451323,0.5169986,3.5231414486921104e-154,1.0399233884159671e-151,150.982998654176,True
STK3,26.407856,0.69226867,1.1131445326938237e-153,3.233508177867194e-151,150.4903260363411,True
STX11,26.176067,0.6767688,4.9780051072929435e-151,1.4234372260314766e-148,147.8466616805994,True
WARS,26.16836,0.75923496,6.092314668708972e-151,1.7285644123210628e-148,147.7623144324974,True
PLEK,26.121399,0.6081924,2.0834460179698053e-150,5.865862131054834e-148,147.23166814872434,True
USP32,26.120619,0.5400929,2.1263343454439684e-150,5.9409132349308925e-148,147.226146790304,True
LYZ,26.038538,0.5272885,1.814179119121947e-149,4.9925390931565705e-147,146.3016785257811,True
PLXNC1,26.00457,0.5946411,4.39647380486362e-149,1.1919654646800989e-146,145.92373632741135,True
DUSP1,25.939758,0.5587821,2.3726382127849446e-148,6.3853625901574815e-146,145.19481443646893,True
VSIR,25.906738,0.54276633,5.5915895206878324e-148,1.483027304686198e-145,144.82885085290596,True
FOS,25.876549,0.664269,1.2232534279028457e-147,3.2210286845087806e-145,144.49200540760242,True
SYK,25.874376,0.539905,1.2940539209732682e-147,3.383119111538756e-145,144.47068271147202,True
SPI1,25.863115,0.7078044,1.7324564869016994e-147,4.4971375799353965e-145,144.3470638259538,True
TCF7L2,25.471603,0.80385005,4.069438305564823e-143,1.0272104235998488e-140,139.9883405822572,True
POU2F2,25.449326,0.53311086,7.182026759696817e-143,1.8004750782990624e-140,139.74461288564072,True
RTN1,25.434017,0.9341702,1.0608139096111716e-142,2.6234358044377364e-140,139.5811295585362,True
STAT2,25.403805,0.8796965,2.2891495486298758e-142,5.623165277141079e-140,139.25001915143716,True
DAPK1,25.357698,0.8523176,7.39057681736728e-142,1.803350013949732e-139,138.74391997245996,True
LRP1,25.348999,0.7796631,9.217745334925256e-142,2.234296006646353e-139,138.6508592906935,True
EMILIN2,25.341085,0.6176703,1.1268253163503084e-141,2.713350881824845e-139,138.56649404103868,True
ACER3,25.227869,0.6226935,1.981598086525445e-140,4.740422978099203e-138,137.32418290540213,True
FGR,25.167755,0.6230884,9.034582666264208e-140,2.1472387023891964e-137,136.6681196736038,True
C9orf72,25.154821,0.55300987,1.2515542953988231e-139,2.9553637913478917e-137,136.52938905188915,True
ADAMTSL4-AS1,25.100441,0.5830297,4.9185523165276316e-139,1.146649256925018e-136,135.94056940605407,True
TNS3,24.728868,0.73430115,5.233732382554919e-135,1.189812664185668e-132,131.9245214128218,True
ADGRE2,24.682241,0.7448219,1.6592846822365233e-134,3.748856707070308e-132,131.42610115934318,True
IFI30,24.671135,0.71443737,2.183383754446376e-134,4.902701153159007e-132,131.30956457860566,True
KIF13A,24.602953,0.61664975,1.1745157804684235e-133,2.605360732177259e-131,130.58413213679907,True
FGL2,24.483232,0.6512558,2.228754079826733e-132,4.88470826800828e-130,129.31116136876764,True
PIK3AP1,24.357986,0.66058093,4.770942965068536e-131,1.0332620323341626e-128,127.98578952865849,True
PARP9,24.333452,0.8946926,8.678889327257164e-131,1.868564872158467e-128,127.72849181987408,True
MS4A6A,24.198595,0.8293736,2.3018187216694897e-129,4.8698767070419065e-127,126.31248203388375,True
TMEM170B,24.158236,0.66333187,6.11764194961313e-129,1.2794960742730867e-126,125.89296104226929,True
HDAC9,24.053223,0.6103783,7.724091266892688e-128,1.5972286127657587e-125,124.7966329184533,True
FRMD4B,23.752182,0.8495663,1.043148090260621e-124,2.1094068094822648e-122,121.6758396563554,True
MXD1,23.74484,0.57212496,1.2422043059120664e-124,2.498127461576239e-122,121.60238540645548,True
GLT1D1,23.74032,0.7439483,1.383197012253463e-124,2.766469609043115e-122,121.55807409635074,True
RAB31,23.735882,0.55476856,1.5372124212205916e-124,3.0577995559290696e-122,121.51459098674812,True
CD86,23.502497,0.69417906,3.84587766006921e-122,7.567901518074901e-120,119.1210245280908,True
PRAM1,23.485743,0.8275467,5.704965370243414e-122,1.1166173129212793e-119,118.95209564278696,True
ZMIZ1,23.458267,0.60850286,1.0885206322461544e-121,2.107986437081561e-119,118.67613218772874,True
ZNF710,23.44412,0.677563,1.5176896630042309e-121,2.90832247935172e-119,118.53635743989066,True
ARRB1,23.28432,0.63529307,6.391616639903798e-120,1.218435211651661e-117,116.91419755878147,True
TNFAIP2,23.248201,0.72230166,1.483392789858444e-119,2.7986422423509743e-117,116.55305261496835,True
TENT5A,23.1851,0.6335366,6.43667506740889e-119,1.2019833884807797e-116,115.92010153428086,True
ZNF106,22.990894,0.5010713,5.749258952936231e-117,1.0469085917234775e-114,113.98009123603187,True
ITGAX,22.881353,0.6110535,7.125530751560815e-116,1.2847367046200852e-113,112.89118586801135,True
MICAL2,22.741623,0.615743,1.736850734802366e-114,3.1161996933579118e-112,111.5063747195025,True
SERPINA1,22.72963,0.7361969,2.2824992715721702e-114,4.0752076018933173e-112,111.38985026224667,True
ASAH1,22.507769,0.52378255,3.4836181384516823e-112,6.071614642165239e-110,109.21669580036885,True
HRH2,22.39625,0.84052014,4.281351084304161e-111,7.356888781061812e-109,108.13330580942389,True
ZFHX3,22.181978,0.64274997,5.127340179026347e-109,8.6085219216763e-107,106.06507141026125,True
LILRB2,21.864906,0.9339428,5.607965759946808e-106,9.082174990257219e-104,103.04181013461178,True
LPCAT2,21.835629,0.841872,1.0646845032816676e-105,1.7166747799388686e-103,102.76531197313031,True
MAP3K20,21.740057,0.6299631,8.579207861201112e-105,1.3476720469005232e-102,101.87041577957356,True
PILRA,21.727278,0.67200565,1.1332281529514754e-104,1.7725334882981604e-102,101.75140555098511,True
CTSD,21.643269,0.587261,7.033665927947853e-104,1.0908440958848275e-101,100.96223731461345,True
FCGR2A,21.601044,0.95608145,1.7560555351090153e-103,2.711957326604433e-101,100.56671714849452,True
SRGAP2B,21.568434,0.6851853,3.5552330547773776e-103,5.46744054781121e-101,100.2622159307225,True
TFEC,21.5627,0.967216,4.0243366950930373e-103,6.162960141301265e-101,100.21021064104247,True
ADA2,21.558378,0.58173245,4.418277713006052e-103,6.738057607238938e-101,100.17146528032447,True
PID1,21.538969,0.7269171,6.718582702213464e-103,1.0203603547042116e-100,99.99124642390356,True
MPEG1,21.414692,0.69151515,9.74880436148761e-102,1.4504714977024716e-99,98.83849080082351,True
TBC1D8,21.392946,0.7014533,1.5542331019579907e-101,2.303096589666576e-99,98.63768784775893,True
CST3,21.32718,0.61102265,6.352264801479268e-101,9.3749695160864e-99,98.02803013576205,True
RNF144B,21.196196,0.5270602,1.035359861230488e-99,1.5037780270197261e-97,96.82281626531024,True
TNFSF10,21.11959,0.8427915,5.254750998836387e-99,7.542319266996496e-97,96.12249508782007,True
MYOF,21.110659,1.0678362,6.3481296203690825e-99,9.076089540434718e-97,96.04210122822067,True
SHTN1,20.881048,0.7802942,7.962576821964978e-97,1.1209164394643852e-94,93.95042676138551,True
BMP2K,20.818403,0.5020515,2.9485171339084993e-96,4.134815157784864e-94,93.38354390031901,True
