gene,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches
PRDM16,True,0.004335514486916877,1.3326606497440932,0.70219105,3
AL365255.1,True,0.025126726586396492,1.5313078395422908,1.1828264,7
CA6,True,0.08760139430813971,1.548953427971211,1.2711242,5
KAZN,True,0.14398703651253913,2.1600900688160243,2.9344995,10
AL357873.1,True,0.004629569797787108,1.3292805844142417,0.693029,3
FHAD1,True,0.032669672187739716,1.358273205472719,0.7451457,4
PADI4,True,0.2083718776388414,1.6599682424257007,1.4218038,8
ALPL,True,0.005413793500930374,1.6856945420067255,1.5044215,3
C1QA,True,0.033313262811447655,1.4568750042945862,0.98917615,6
C1QB,True,0.01103515917601755,1.252614810078893,0.7022523,4
CNR2,True,0.1689394304510552,1.5809376836978608,1.2179984,4
IFNLR1,True,0.055618010166553065,1.4364348383234473,0.9498073,3
RCAN3,True,0.8076361387831412,1.827539608786458,1.0877589,4
CLIC4,True,0.4518448427705374,1.7515329244250328,1.367767,7
RUNX3,True,1.2289669424928906,1.9525202616301407,0.9652704,4
MAN1C1,True,0.47112939303933415,1.6965002890819805,1.1639559,4
ZNF683,True,0.036687005768783955,1.4394381342410276,0.94809216,4
AL139286.3,True,0.01527993922147405,1.3427848599653593,0.6125981,3
CSF3R,True,0.9511530431619521,2.0858769644346733,1.7679112,9
AL139260.1,True,0.1368615707005549,1.5424677838618694,1.2159998,4
SCMH1,True,0.8571831892076563,1.9071138448310556,1.3377664,7
HIVEP3,True,1.1775424454992063,2.112099853574271,1.6019921,9
CCDC30,True,0.1368025152118562,1.5468558782613557,1.169591,6
ST3GAL3,True,0.5013128371357353,1.723006957970624,1.2191205,6
ZSWIM5,True,0.3107375107136914,1.947707071110082,2.1715846,9
TESK2,True,0.26304078878689324,1.555483179421205,1.1314085,5
MAST2,True,0.2803793611970328,1.4954681653325508,0.88774383,3
PIK3R3,True,0.06633039771879663,1.5401335626432047,1.2311214,7
AGBL4,True,0.07763368404236562,2.3437969545853434,3.4072149,10
AC099788.1,True,0.0029644246606541705,1.4003869433575455,0.8081663,4
LINC01562,True,0.00799915468744862,1.3065511564932697,0.5440874,3
AC104170.1,True,0.05903898737555109,1.5677700716167369,1.3129089,7
