Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,-log10_padj
GO_Biological_Process_2023,Response To Cytokine (GO:0034097),12/125,1.369082360282762e-12,1.5539084789209347e-09,0,0,23.87811745776348,652.2756790221713,BST2;PLSCR1;STAT1;SLC11A1;KYNU;MX2;MX1;EIF2AK2;ISG15;IRAK3;XAF1;JAK2,8.808574563572487
Reactome_2022,Immune System R-HSA-168256,35/1943,5.3690955520339536e-12,1.938243494284257e-09,0,0,5.077568134171908,131.76472937238242,FCN1;CSF3R;CLEC12A;NCF2;CTSS;TNFSF13B;RNF213;CLEC7A;COTL1;TRIM25;CD36;JAK2;ATG7;RNF130;RAP1GAP2;IL15;STAT1;SLC11A1;MX2;MX1;CYBB;EIF2AK2;ISG15;IRAK3;ATP11A;TNFRSF1B;CPPED1;IL17RA;BST2;HCK;JAML;PECAM1;MNDA;XAF1;TLR2,8.712591665065762
GO_Biological_Process_2023,Defense Response To Virus (GO:0051607),13/189,1.0977381508157976e-11,4.1531093372531006e-09,0,0,16.74582027168234,422.58385891156166,STAT1;MX2;MX1;EIF2AK2;DDX60L;ISG15;LYST;IFI44L;BST2;PLSCR1;TRIM25;ATG7;TLR2,8.381626635242005
GO_Biological_Process_2023,Defense Response To Symbiont (GO:0140546),12/148,1.0319931470786568e-11,4.1531093372531006e-09,0,0,19.816844919786096,501.3056161196832,BST2;PLSCR1;STAT1;MX2;MX1;EIF2AK2;DDX60L;ISG15;ATG7;LYST;IFI44L;TLR2,8.381626635242005
Reactome_2022,Neutrophil Degranulation R-HSA-6798695,15/468,1.1330993777103097e-08,2.045244376767109e-06,0,0,7.575769380599922,138.60418608223156,FCN1;CLEC12A;SLC11A1;CYBB;ATP11A;TNFRSF1B;CTSS;CPPED1;BST2;COTL1;PECAM1;MNDA;CD36;ATG7;TLR2,5.6892547927223465
Reactome_2022,Innate Immune System R-HSA-168249,21/1035,3.3034541791939324e-08,3.975156528963364e-06,0,0,4.951014905250543,85.28475737027195,FCN1;CLEC12A;NCF2;SLC11A1;CYBB;ISG15;IRAK3;ATP11A;TNFRSF1B;CTSS;CPPED1;BST2;HCK;CLEC7A;COTL1;PECAM1;TRIM25;MNDA;CD36;ATG7;TLR2,5.400645765541695
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,17/702,6.731809444210357e-08,6.075458023399846e-06,0,0,5.745404977574531,94.8786800001606,CSF3R;IL15;STAT1;MX2;MX1;EIF2AK2;ISG15;IRAK3;TNFRSF1B;TNFSF13B;IL17RA;BST2;HCK;TRIM25;CD36;XAF1;JAK2,5.216420975419056
Reactome_2022,Interferon Signaling R-HSA-913531,9/200,7.246130877532363e-07,5.231706493578366e-05,0,0,10.205454231632242,144.28091546324455,BST2;STAT1;MX2;MX1;TRIM25;EIF2AK2;ISG15;XAF1;JAK2,4.281356628558948
GO_Biological_Process_2023,Response To Interferon-Beta (GO:0035456),5/29,3.049719828171407e-07,8.653580012436367e-05,0,0,43.58771929824562,653.9485543615966,BST2;PLSCR1;STAT1;MNDA;XAF1,4.062804186408786
Reactome_2022,Interferon Alpha/Beta Signaling R-HSA-909733,6/72,1.6067318696867162e-06,9.667170082615076e-05,0,0,19.181818181818183,255.9105508202512,BST2;STAT1;MX2;MX1;ISG15;XAF1,4.014700640433553
GO_Biological_Process_2023,Regulation Of Phagocytosis (GO:0050764),6/58,4.403792733101903e-07,9.99660950414132e-05,0,0,24.363338788870703,356.57279981244113,HCK;PLSCR1;IL15;CLEC7A;SLC11A1;TLR2,4.000147272331956
GO_Biological_Process_2023,Negative Regulation Of Viral Process (GO:0048525),6/61,5.968709201515418e-07,0.00010488117191299594,0,0,23.030947775628626,330.06952416173124,BST2;PLSCR1;STAT1;MX1;EIF2AK2;ISG15,3.9793024686053107
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),10/257,6.4684423206253e-07,0.00010488117191299594,0,0,8.840755735492577,125.99102738584148,HCK;CSF3R;IL15;STAT1;MX1;IRAK3;JAK2;TNFRSF1B;PLCB1;IL17RA,3.9793024686053107
Reactome_2022,ISG15 Antiviral Mechanism R-HSA-1169408,6/75,2.045889017738323e-06,0.00010550941934336209,0,0,18.34505087881591,240.3142618906808,STAT1;MX2;MX1;TRIM25;EIF2AK2;ISG15,3.9767087670370147
Reactome_2022,Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,6/83,3.713506616511966e-06,0.00016757198607010248,0,0,16.432439900525008,205.4635701462146,STAT1;MX2;MX1;TRIM25;EIF2AK2;ISG15,3.7757985830331138
